Round,Training Data,Type,Initiator,Initiator Percentage (%),Anhydride,Epoxy,Repeat Units,Initiator +anhydride+epoxy+[*],Bigsmiles (Initiator +anhydride+epoxy),λex,λem,QY
training_original,1,training_original,[H]O[H],0.5,O=C(O1)C2CCCCC2C1=O,CC1CO1,[*]CC(C)OC(=O)C1C(CCCC1)C(=O)O[*],OCC(C)OC(=O)C1C(CCCC1)C(=O)O[*],HO{[]CC(C)OC(=O)C1C(CCCC1)C(=O)O[]},380,413.0,2.8
training_original,2,training_original,[H]O[H],0.5,O=C(O1)C=CC1=O,CC1CO1,[*]CC(C)OC(=O)/C=C/C(=O)O[*],OCC(CC)OC(=O)/C=C/C(=O)O[*],HO{[]CC(CC)OC(=O)/C=C/C(=O)O[]},360,440.0,12.7
training_original,3,training_original,[H]O[H],0.5,O=C(OC1=O)C2=C1CCCC2,CC1CO1,[*]CC(C)OC(=O)C1=C(CCCC1)C(=O)O[*],OCC(C)OC(=O)C1=C(CCCC1)C(=O)O[*],HO{[]CC(C)OC(=O)C1=C(CCCC1)C(=O)O[]},400,530.0,37.9
training_original,4,training_original,[H]O[H],0.5,O=C(O1)C2=C(C=CC=C2)C1=O,CC1CO1,[*]CC(C)OC(=O)c1ccccc1C(=O)O[*],OCC(C)OC(=O)c1ccccc1C(=O)O[*],HO{[]CC(C)OC(=O)c1ccccc1C(=O)O[]},340,430.0,0.9
training_original,5,training_original,[H]O[H],0.5,O=C1OC(CC1)=O,O1CC1,[*]CCOC(=O)CCC(=O)O[*],OCCOC(=O)CCC(=O)O[*],HO{[]CCOC(=O)CCC(=O)O[]},360,407.0,3.6
training_original,6,training_original,[H]O[H],0.5,O=C1OC(CC1)=O,CC1CO1,[*]CC(C)OC(=O)CCC(=O)O[*],OCC(C)OC(=O)CCC(=O)O[*],HO{[]CC(C)OC(=O)CCC(=O)O[]},380,452.0,9.2
training_original,7,training_original,[H]O[H],0.5,O=C1OC(CC1)=O,CCC1CO1,[*]CC(CC)OC(=O)CCC(=O)O[*],OCC(CC)OC(=O)CCC(=O)O[*],HO{[]CC(CC)OC(=O)CCC(=O)O[]},380,449.0,20.3
training_original,8,training_original,[H]O[H],0.5,O=C1OC(CC1)=O,CCCC1CO1,[*]CC(CCC)OC(=O)CCC(=O)O[*],OCC(CCC)OC(=O)CCC(=O)O[*],HO{[]CC(CCC)OC(=O)CCC(=O)O[]},380,455.0,14.0
training_original,9,training_original,[H]O[H],0.5,O=C1OC(CC1)=O,CCCCC1CO1,[*]CC(CCCC)OC(=O)CCC(=O)O[*],OCC(CCCC)OC(=O)CCC(=O)O[*],HO{[]CC(CCCC)OC(=O)CCC(=O)O[]},380,455.0,15.3
training_original,10,training_original,[H]O[H],0.5,O=C1OC(CC1)=O,CCCCCCC1CO1,[*]CC(CCCCCC)OC(=O)CCC(=O)O[*],OCC(CCCCCC)OC(=O)CCC(=O)O[*],HO{[]CC(CCCCCC)OC(=O)CCC(=O)O[]},380,453.0,14.9
training_original,11,training_original,[H]O[H],0.5,O=C1OC(C=C1)=O,O1CC1,[*]CCOC(=O)/C=C/C(=O)O[*],OCCOC(=O)/C=C/C(=O)O[*],HO{[]CCOC(=O)/C=C/C(=O)O[]},420,521.0,3.5
training_original,12,training_original,[H]O[H],0.5,O=C1OC(C=C1)=O,CCC1CO1,[*]CC(CC)OC(=O)/C=C/C(=O)O[*],OCC(CC)OC(=O)/C=C/C(=O)O[*],HO{[]CC(CC)OC(=O)/C=C/C(=O)O[]},480,528.0,6.5
training_original,13,training_original,[H]O[H],0.5,O=C1OC(C=C1)=O,CCCC1CO1,[*]CC(CCC)OC(=O)/C=C/C(=O)O[*],OCC(CCC)OC(=O)/C=C/C(=O)O[*],HO{[]CC(CCC)OC(=O)/C=C/C(=O)O[]},480,535.0,12.2
training_original,14,training_original,[H]O[H],0.5,O=C1OC(C=C1)=O,CCCCC1CO1,[*]CC(CCCC)OC(=O)/C=C/C(=O)O[*],OCC(CCCC)OC(=O)/C=C/C(=O)O[*],HO{[]CC(CCCC)OC(=O)/C=C/C(=O)O[]},400,474.0,7.3
training_original,15,training_original,[H]O[H],0.5,O=C1OC(C=C1)=O,CCCCCCC1CO1,[*]CC(CCCCCC)OC(=O)/C=C/C(=O)O[*],OCC(CCCCCC)OC(=O)/C=C/C(=O)O[*],HO{[]CC(CCCCCC)OC(=O)/C=C/C(=O)O[]},480,534.0,6.5
training_original,16,training_original,[H]O[H],0.5,O=C1OC(C=C1)=O,O1CC1,[*]CCOC(=O)/C=C\C(=O)O[*],OCCOC(=O)/C=C\C(=O)O[*],HO{[]CCOC(=O)/C=C\C(=O)O[]},480,534.0,9.2
