Training Data,Initiator,Initiator Percentage (%),Anhydride,Epoxy,Repeat Units,Initiator +anhydride+epoxy+[*],Unnamed: 7,C1
1,[H]O[H],0.5,O=C1OC(C2C1CC2)=O,CC1CO1,[*]CC(C)OC(=O)C(CC1)C1C(=O)O[*],OCC(C)OC(=O)C(CC1)C1C(=O)O[*],,
2,[H]O[H],0.5,O=C1OC(C2C1CCC2)=O,CC1CO1,[*]CC(C)OC(=O)C(CCC1)C1C(=O)O[*],OCC(C)OC(=O)C(CCC1)C1C(=O)O[*],,
3,[H]O[H],0.5,O=C1OC(C2C1C3C=CC2C3)=O,CC1CO1,[*]CC(C)OC(=O)C(C1C=CC2C1)C2C(=O)O[*],OCC(C)OC(=O)C(C1C=CC2C1)C2C(=O)O[*],,
4,[H]O[H],0.5,O=C1OC(C(C2=CC=CC=C2)=C1)=O,CC1CO1,[*]CC(C)OC(=O)/C=C(C1=CC=CC=C1)\C(=O)O[*],OCC(C)OC(=O)/C=C(C1=CC=CC=C1)\C(=O)O[*],,
5,[H]O[H],0.5,O=C1OC(C(C)=C1C)=O,CC1CO1,[*]CC(C)OC(=O)/C(C)=C(C)\C(=O)O[*],OCC(C)OC(=O)/C(C)=C(C)\C(=O)O[*],,
6,[H]O[H],0.5,O=C1OC(C2=C1C=CC=C2F)=O,CC1CO1,[*]CC(C)OC(=O)C(C=CC=C1F)=C1C(=O)O[*],OCC(C)OC(=O)C(C=CC=C1F)=C1C(=O)O[*],,
7,[H]O[H],0.5,O=C1OC(C2=C1C(C)=CC=C2)=O,CC1CO1,[*]CC(C)OC(=O)C(C=CC=C1C)=C1C(=O)O[*],OCC(C)OC(=O)C(C=CC=C1C)=C1C(=O)O[*],,
8,[H]O[H],0.5,O=C1OC(C2=C1C=C(C)C=C2)=O,CC1CO1,[*]CC(C)OC(=O)C(C=CC(C)=C1)=C1C(=O)O[*],OCC(C)OC(=O)C(C=CC(C)=C1)=C1C(=O)O[*],,
9,[H]O[H],0.5,O=C1OC(C2=C1C=CC=C2OC)=O,CC1CO1,[*]CC(C)OC(=O)C(C=CC=C1OC)=C1C(=O)O[*],OCC(C)OC(=O)C(C=CC=C1OC)=C1C(=O)O[*],,
10,[H]O[H],0.5,O=C1OC(C2=C1C=CC(OC)=C2)=O,CC1CO1,[*]CC(C)OC(=O)C(C=CC(OC)=C1)=C1C(=O)O[*],OCC(C)OC(=O)C(C=CC(OC)=C1)=C1C(=O)O[*],,
11,[H]O[H],0.5,O=C1OC(C2=C1C=C(OC)C(OC)=C2)=O,CC1CO1,[*]CC(C)OC(=O)C(C=C(OC)C(OC)=C1)=C1C(=O)O[*],OCC(C)OC(=O)C(C=C(OC)C(OC)=C1)=C1C(=O)O[*],,
12,[H]O[H],0.5,O=C1OC(C2=C1C=CC(C(C)(C)C)=C2)=O,CC1CO1,[*]CC(C)OC(=O)C(C=CC(C(C)(C)C)=C1)=C1C(=O)O[*],OCC(C)OC(=O)C(C=CC(C(C)(C)C)=C1)=C1C(=O)O[*],,
13,[H]O[H],0.5,O=C1OC(C2=C1C3=CC=CC=C3C=C2)=O,CC1CO1,[*]CC(C)OC(=O)C(C=CC1=C2C=CC=C1)=C2C(=O)O[*],OCC(C)OC(=O)C(C=CC1=C2C=CC=C1)=C2C(=O)O[*],,
14,[H]O[H],0.5,O=C1OC(C2=C1C=C(F)C=C2)=O,CC1CO1,[*]CC(C)OC(=O)C(C=CC(F)=C1)=C1C(=O)O[*],OCC(C)OC(=O)C(C=CC(F)=C1)=C1C(=O)O[*],,
15,[H]O[H],0.5,O=C1OC(C2=C1C=CC(C#CC3=CC=CC=C3)=C2)=O,CC1CO1,[*]CC(C)OC(=O)C(C=CC(C#CC1=CC=CC=C1)=C2)=C2C(=O)O[*],OCC(C)OC(=O)C(C=CC(C#CC1=CC=CC=C1)=C2)=C2C(=O)O[*],,
